Species,Species_modified_from_WAHIS_FAO,host_class,host_order,host_family,host_gen_sp
Accipitridae (unidentified),Accipitridae_(unidentified),Aves,Accipitriformes,Accipitridae,
African black oystercatcher,African_black_oystercatcher,Aves,Charadriiformes,Haematopodidae,
African fish eagle,African_fish_eagle,Aves,Accipitriformes,Accipitridae,
African rock pigeon,African_rock_pigeon,Aves,Columbiformes,Columbidae,
American Black Duck,American_Black_Duck,Aves,Anseriformes,Anatidae,
American crow,American_crow,Aves,Passeriformes,Corvidae,
American wigeon,American_wigeon,Aves,Anseriformes,Anatidae,
Anatidae (unidentified),Anatidae_(unidentified),Aves,Anseriformes,Anatidae,
Anserinae (unidentified),Anserinae_(unidentified),Aves,Anseriformes,Anserinae,
Arctic Jaeger,Arctic_Jaeger,Aves,Charadriiformes,Stercorariidae,
Arctic Tern,Arctic_Tern,Aves,Charadriiformes,Laridae,
Ardeidae (unidentified),Ardeidae_(unidentified)_heron,Aves,Pelecaniformes,Ardeidae,
Armenian Gull,Armenian_Gull,Aves,Charadriiformes,Laridae,
Asian Openbill,Asian_Openbill,Aves,Ciconiiformes,Ciconiidae,
Bald Eagle,Bald_Eagle,Aves,Accipitriformes,Accipitridae,
Bank cormorant,Bank_cormorant,Aves,Suliformes,Phalacrocoracidae,
Bar-headed Goose,Bar-headed_Goose,Aves,Anseriformes,Anatidae,
Barn Owl (Common Barn-Owl),Barn_Owl_(Common_Barn-Owl),Aves,Strigiformes,Strigidae,
Barnacle Goose,Barnacle_Goose,Aves,Anseriformes,Anatidae,
Bean Goose,Bean_Goose,Aves,Anseriformes,Anatidae,
Bewick's Swan,Bewick's_Swan,Aves,Anseriformes,Anatidae,
Birds,Birds,Aves,Undetermined,Undetermined,
Black Kite,Black_Kite,Aves,Accipitriformes,Accipitridae,
Black Swan,Black_Swan,Aves,Anseriformes,Anatidae,
Black-crowned Night-Heron,Black-crowned_Night-Heron,Aves,Pelecaniformes,Ardeidae,
Black-faced spoonbill,Black-faced_spoonbill,Aves,Pelecaniformes,Threskiornithidae,
Black-headed Gull,Black-headed_Gull,Aves,Charadriiformes,Laridae,
Black-headed Heron,Black-headed_Heron,Aves,Pelecaniformes,Ardeidae,
Black-necked Grebe,Black-necked_Grebe,Aves,Podicepiformes,Podicipedidae,
Black-tailed Gull,Black-tailed_Gull,Aves,Charadriiformes,Laridae,
Blue crane,Blue_crane,Aves,Gruiformes,Gruidae,
Blue jay,Blue_jay,Aves,Passeriformes,Corvidae,
Bonelli's Eagle,Bonelli's_Eagle,Aves,Accipitriformes,Accipitridae,
Brent Goose,Brent_Goose,Aves,Anseriformes,Anatidae,
Broad-winged Hawk,Broad-winged_Hawk,Aves,Accipitriformes,Accipitridae,
Brown Pelican,Brown_Pelican,Aves,Pelecaniformes,Pelecanidae,
Brown skua,Brown_skua,Aves,Charadriiformes,Stercorariidae,
Budgerigar,Budgerigar,Aves,Psittaciformes,Psittacidae,
Bufflehead,Bufflehead,Aves,Anseriformes,Anatidae,
Cackling Goose,Cackling_Goose,Aves,Anseriformes,Anatidae,
Canada Goose,Canada_Goose,Aves,Anseriformes,Anatidae,
Cape cormorant,Cape_cormorant,Aves,Suliformes,Phalacrocoracidae,
Cape gannet,Cape_gannet,Aves,Suliformes,Sulidae,
Carrion Crow,Carrion_Crow,Aves,Passeriformes,Corvidae,
Caspian Gull,Caspian_Gull,Aves,Charadriiformes,Laridae,
Charadriidae (unidentified),Charadriidae_(unidentified),Aves,Charadriiformes,Charadriidae,
Ciconiidae (unidentified),Ciconiidae_(unidentified),Aves,Ciconiiformes,Ciconiidae,
Columbidae (unidentified),Columbidae_(unidentified),Aves,Columbiformes,Columbidae,
Common Coot,Common_Coot,Aves,Gruiformes,Rallidae,
Common Crane,Common_Crane,Aves,Gruiformes,Gruidae,
Common Eider,Common_Eider,Aves,Anseriformes,Anatidae,
Common Goldeneye,Common_Goldeneye,Aves,Anseriformes,Anatidae,
Common Guineafowl,Common_Guineafowl,Aves,Galliformes,Numididae,
Common Kestrel,Common_Kestrel,Aves,Falconiformes,Falconidae,
Common magpie,Common_magpie,Aves,Passeriformes,Corvidae,
Common Merganser,Common_Merganser,Aves,Anseriformes,Anatidae,
Common Moorhen,Common_Moorhen,Aves,Gruiformes,Rallidae,
Common Murre,Common_Murre,Aves,Charadriiformes,Alcidae,
Common pheasant,Common_pheasant,Aves,Galliformes,Phasianidae,
Common Pochard,Common_Pochard,Aves,Anseriformes,Anatidae,
Common Raven,Common_Raven,Aves,Passeriformes,Corvidae,
Common Redshank,Common_Redshank,Aves,Charadriiformes,Scolopacidae,
Common Shelduck,Common_Shelduck,Aves,Anseriformes,Anatidae,
Common Starling,Common_Starling,Aves,Passeriformes,Sturnidae,
Common Teal,Common_Teal,Aves,Anseriformes,Anatidae,
Common Tern,Common_Tern,Aves,Charadriiformes,Laridae,
Common Wood-Pigeon,Common_Wood-Pigeon,Aves,Columbiformes,Columbidae,
Corvidae (unidentified),Corvidae_(unidentified),Aves,Passeriformes,Corvidae,
Coscoroba Swan,Coscoroba_Swan,Aves,Anseriformes,Anatidae,
Crested Goshawk,Crested_Goshawk,Aves,Accipitriformes,Accipitridae,
Crested Myna,Crested_Myna,Aves,Passeriformes,Sturnidae,
Crested serpent-eagle,Crested_serpent-eagle,Aves,Accipitriformes,Accipitridae,
Crowned cormorant,Crowned_cormorant,Aves,Suliformes,Phalacrocoracidae,
Cygnus (unidentified),Cygnus_(unidentified),Aves,Anseriformes,Anatidae,
Dalmatian pelican,Dalmatian_pelican,Aves,Pelecaniformes,Pelecanidae,
Demoiselle Crane,Demoiselle_Crane,Aves,Gruiformes,Gruidae,
Dromaiidae (unidentified),Dromaiidae_(unidentified)_emu,Aves,Casuariiformes,Dromaiidae,
Eastern Buzzard,Eastern_Buzzard,Aves,Accipitriformes,Accipitridae,
Eastern grass-owl,Eastern_grass-owl,Aves,Strigiformes,Strigidae,
Egyptian Goose,Egyptian_Goose,Aves,Anseriformes,Anatidae,
Eurasian Blackbird,Eurasian_Blackbird,Aves,Passeriformes,Turdidae,
Eurasian Bullfinch,Eurasian_Bullfinch,Aves,Passeriformes,Fringillidae,
Eurasian buzzard (common buzzard),Eurasian_buzzard_(common_buzzard),Aves,Accipitriformes,Accipitridae,
Eurasian Collared-Dove,Eurasian_Collared-Dove,Aves,Columbiformes,Columbidae,
Eurasian Curlew,Eurasian_Curlew,Aves,Charadriiformes,Scolopacidae,
Eurasian Eagle-Owl,Eurasian_Eagle-Owl,Aves,Strigiformes,Strigidae,
Eurasian Griffon,Eurasian_Griffon,Aves,Accipitriformes,Accipitridae,
Eurasian Hobby,Eurasian_Hobby,Aves,Falconiformes,Falconidae,
Eurasian Jackdaw,Eurasian_Jackdaw,Aves,Passeriformes,Corvidae,
Eurasian Jay,Eurasian_Jay,Aves,Passeriformes,Corvidae,
Eurasian Oystercatcher,Eurasian_Oystercatcher,Aves,Charadriiformes,Haematopodidae,
Eurasian Sparrowhawk,Eurasian_Sparrowhawk,Aves,Accipitriformes,Accipitridae,
Eurasian Spoonbill,Eurasian_Spoonbill,Aves,Pelecaniformes,Threskiornithidae,
Eurasian Wigeon,Eurasian_Wigeon,Aves,Anseriformes,Anatidae,
Eurasian Woodcock,Eurasian_Woodcock,Aves,Charadriiformes,Scolopacidae,
European Greenfinch,European_Greenfinch,Aves,Passeriformes,Fringillidae,
Falcated Duck,Falcated_Duck,Aves,Anseriformes,Anatidae,
Falconidae (unidentified),Falconidae_(unidentified),Aves,Falconiformes,Falconidae,
Ferruginous Pochard,Ferruginous_Pochard,Aves,Anseriformes,Anatidae,
Fieldfare,Fieldfare,Aves,Passeriformes,Turdidae,
Gadwall,Gadwall,Aves,Anseriformes,Anatidae,
Garganey,Garganey,Aves,Anseriformes,Anatidae,
Glossy Ibis,Glossy_Ibis,Aves,Pelecaniformes,Threskiornithidae,
Golden Eagle,Golden_Eagle,Aves,Accipitriformes,Accipitridae,
Gray Seal,Gray_Seal,Mammalia,Carnivora,Phocidae,
Great black-backed Gull,Great_black-backed_Gull,Aves,Charadriiformes,Laridae,
Great Black-headed Gull,Great_Black-headed_Gull,Aves,Charadriiformes,Laridae,
Great Blue Heron,Great_Blue_Heron,Aves,Pelecaniformes,Ardeidae,
Great Cormorant,Great_Cormorant,Aves,Suliformes,Phalacrocoracidae,
Great Crested Grebe,Great_Crested_Grebe,Aves,Podicepiformes,Podicipedidae,
Great Egret,Great_Egret,Aves,Pelecaniformes,Ardeidae,
Great Skua,Great_Skua,Aves,Charadriiformes,Stercorariidae,
Great White Pelican,Great_White_Pelican,Aves,Pelecaniformes,Pelecanidae,
Great-winged petrel,Great-winged_petrel,Aves,Procellariiformes,Procellariidae,
Greater Flamingo,Greater_Flamingo,Aves,Phoenicopteriformes,Phoenicopteridae,
Greater Scaup,Greater_Scaup,Aves,Anseriformes,Anatidae,
Greater White-fronted Goose,Greater_White-fronted_Goose,Aves,Anseriformes,Anatidae,
Green Sandpiper,Green_Sandpiper,Aves,Charadriiformes,Scolopacidae,
Green-winged Teal,Green-winged_Teal,Aves,Anseriformes,Anatidae,
Grey Heron,Grey_Heron,Aves,Pelecaniformes,Ardeidae,
Grey Parrot,Grey_Parrot,Aves,Psittaciformes,Psittacidae,
Grey-headed gull,Grey-headed_gull,Aves,Charadriiformes,Laridae,
Greylag Goose,Greylag_Goose,Aves,Anseriformes,Anatidae,
Gruidae (unidentified),Gruidae_(unidentified)_crane,Aves,Gruiformes,Gruidae,
Hadada Ibis,Hadada_Ibis,Aves,Pelecaniformes,Threskiornithidae,
Haematopodidae (unidentified),Haematopodidae_(unidentified)_oystercatcher,Aves,Charadriiformes,Haematopodidae,
Harbor Seal,Harbor_Seal,Mammalia,Carnivora,Phocidae,
Harris's hawk,Harris's_hawk,Aves,Accipitriformes,Accipitridae,
Hartlaub's gull,Hartlaub's_gull,Aves,Charadriiformes,Laridae,
Herring Gull,Herring_Gull,Aves,Charadriiformes,Laridae,
Hirundinidae (unidentified),Hirundinidae_(unidentified),Aves,Passeriformes,Hirundinidae,
Hooded crane,Hooded_crane,Aves,Gruiformes,Gruidae,
Hooded Crow,Hooded_Crow,Aves,Passeriformes,Corvidae,
Hooded Merganser,Hooded_Merganser,Aves,Anseriformes,Anatidae,
House Crow,House_Crow,Aves,Passeriformes,Corvidae,
House Sparrow,House_Sparrow,Aves,Passeriformes,Passeridae,
Imperial Eagle,Imperial_Eagle,Aves,Accipitriformes,Accipitridae,
Indian Peafowl,Indian_Peafowl,Aves,Galliformes,Phasianidae,
Indian Pond Heron,Indian_Pond_Heron,Aves,Pelecaniformes,Ardeidae,
Intermediate Egret,Intermediate_Egret,Aves,Pelecaniformes,Ardeidae,
Jackal Buzzard,Jackal_Buzzard,Aves,Accipitriformes,Accipitridae,
Jackass Penguin,Jackass_Penguin,Aves,Sphenisciformes,Spheniscidae,
Kelp Gull,Kelp_Gull,Aves,Charadriiformes,Laridae,
Laniidae (unidentified),Laniidae_(unidentified),Aves,Passeriformes,Laniidae,
Large-billed Crow,Large-billed_Crow,Aves,Passeriformes,Corvidae,
Laridae (unidentified),Laridae_(unidentified),Aves,Charadriiformes,Laridae,
Laughing Dove,Laughing_Dove,Aves,Columbiformes,Columbidae,
Lesser adjutant,Lesser_adjutant,Aves,Ciconiiformes,Ciconiidae,
Lesser Black-backed Gull,Lesser_Black-backed_Gull,Aves,Charadriiformes,Laridae,
Lesser Spotted Eagle,Lesser_Spotted_Eagle,Aves,Accipitriformes,Accipitridae,
Lesser white-fronted goose,Lesser_white-fronted_goose,Aves,Anseriformes,Anatidae,
Light-vented bulbul,Light-vented_bulbul,Aves,Passeriformes,Pycnonotidae,
Little Egret,Little_Egret,Aves,Pelecaniformes,Ardeidae,
Little Grebe,Little_Grebe,Aves,Podicepiformes,Podicipedidae,
Little Owl,Little_Owl,Aves,Strigiformes,Strigidae,
Long-eared Owl,Long-eared_Owl,Aves,Strigiformes,Strigidae,
Mallard,Mallard,Aves,Anseriformes,Anatidae,
Mandarin Duck,Mandarin_Duck,Aves,Anseriformes,Anatidae,
Marbled teal,Marbled_teal,Aves,Anseriformes,Anatidae,
Mediterranean Gull,Mediterranean_Gull,Aves,Charadriiformes,Laridae,
Merlin,Merlin,Aves,Falconiformes,Falconidae,
Mew Gull,Mew_Gull,Aves,Charadriiformes,Laridae,
Montagu's Harrier,Montagu's_Harrier,Aves,Accipitriformes,Accipitridae,
Mountain Hawk-eagle,Mountain_Hawk-eagle,Aves,Accipitriformes,Accipitridae,
Muscovy Duck,Muscovy_Duck,Aves,Anseriformes,Anatidae,
Mute Swan,Mute_Swan,Aves,Anseriformes,Anatidae,
Nene,Nene,Aves,Anseriformes,Anatidae,
Northern Gannet,Northern_Gannet,Aves,Suliformes,Sulidae,
Northern giant petrel,Northern_giant_petrel,Aves,Procellariiformes,Procellariidae,
Northern Goshawk,Northern_Goshawk,Aves,Accipitriformes,Accipitridae,
Northern Lapwing,Northern_Lapwing,Aves,Charadriiformes,Charadriidae,
Northern Pintail,Northern_Pintail,Aves,Anseriformes,Anatidae,
Northern Saw-whet Owl,Northern_Saw-whet_Owl,Aves,Strigiformes,Strigidae,
Northern Shoveler,Northern_Shoveler,Aves,Anseriformes,Anatidae,
Numididae (unidentified),Numididae_(unidentified)_guineafowl,Aves,Galliformes,Numididae,
Oriental Magpie-Robin,Oriental_Magpie-Robin,Aves,Passeriformes,Muscicapidae,
Oriental white ibis,Oriental_white_ibis,Aves,Pelecaniformes,Threskiornithidae,
Pale thrush,Pale_thrush,Aves,Passeriformes,Turdidae,
Passeridae (unidentified),Passeridae_(unidentified),Aves,Passeriformes,Passeridae,
Pelecanidae (unidentified),Pelecanidae_(unidentified),Aves,Pelecaniformes,Pelecanidae,
Peregrin falcon,Peregrine_falcon,Aves,Falconiformes,Falconidae,
Phalacrocoracidae (unidentified),Phalacrocoracidae_(unidentified),Aves,Suliformes,Phalacrocoracidae,
Phasianidae (unidentified),Phasianidae_(unidentified),Aves,Galliformes,Phasianidae,
Phoenicopteridae (unidentified),Phoenicopteridae_(unidentified),Aves,Phoenicopteriformes,Phoenicopteridae,
Pied crow,Pied_crow,Aves,Passeriformes,Corvidae,
Pink-backed Pelican,Pink-backed_Pelican,Aves,Pelecaniformes,Pelecanidae,
Pink-footed Goose,Pink-footed_Goose,Aves,Anseriformes,Anatidae,
Plumed Whistling-Duck,Plumed_Whistling-Duck,Aves,Anseriformes,Anatidae,
Podicipedidae (unidentified),Podicipedidae_(unidentified),Aves,Podicepiformes,Podicipedidae,
Pygmy cormorant,Pygmy_cormorant,Aves,Suliformes,Phalacrocoracidae,
Raccoon dog,Raccoon_dog,Mammalia,Carnivora,Canidae,
Rallidae (unidentified),Rallidae_(unidentified),Aves,Gruiformes,Rallidae,
Red Fox,Red_Fox,Mammalia,Carnivora,Canidae,
Red Jungle Fowl,Red_Jungle_Fowl,Aves,Galliformes,Phasianidae,
Red Kite,Red_Kite,Aves,Accipitriformes,Accipitridae,
Red Knot,Red_Knot,Aves,Charadriiformes,Scolopacidae,
Red-and-green Macaw,Red-and-green_Macaw,Aves,Psittaciformes,Psittacidae,
Red-breasted Merganser,Red-breasted_Merganser,Aves,Anseriformes,Anatidae,
Red-crested Pochard,Red-crested_Pochard,Aves,Anseriformes,Anatidae,
Red-crowned Crane,Red-crowned_Crane,Aves,Gruiformes,Gruidae,
Red-footed falcon,Red-footed_falcon,Aves,Falconiformes,Falconidae,
Red-headed trogon,Red-headed_trogon,Aves,Trogoniformes,Trogonidae,
Red-tailed Hawk,Red-tailed_Hawk,Aves,Accipitriformes,Accipitridae,
Red-whiskered Bulbul,Red-whiskered_Bulbul,Aves,Passeriformes,Pycnonotidae,
Redhead,Redhead,Aves,Anseriformes,Anatidae,
Redwing,Redwing,Aves,Passeriformes,Turdidae,
Rock Pigeon (Rock Dove),Rock_Pigeon_(Rock_Dove),Aves,Columbiformes,Columbidae,
Rook,Rook,Aves,Passeriformes,Corvidae,
Ross's Goose,Ross's_Goose,Aves,Anseriformes,Anatidae,
Rough-legged Hawk,Rough-legged_Hawk,Aves,Accipitriformes,Accipitridae,
Ruddy Shelduck,Ruddy_Shelduck,Aves,Anseriformes,Anatidae,
Ruddy Turnstone,Ruddy_Turnstone,Aves,Charadriiformes,Scolopacidae,
Ruffed grouse,Ruffed_grouse,Aves,Galliformes,Phasianidae,
Sacred Ibis,Sacred_Ibis,Aves,Pelecaniformes,Threskiornithidae,
Saker Falcon,Saker_Falcon,Aves,Falconiformes,Falconidae,
Sanderling,Sanderling,Aves,Charadriiformes,Scolopacidae,
Sandwich Tern,Sandwich_Tern,Aves,Charadriiformes,Laridae,
Scaly-breasted Munia,Scaly-breasted_Munia,Aves,Passeriformes,Estrildidae,
Scarlet Ibis,Scarlet_Ibis,Aves,Pelecaniformes,Threskiornithidae,
Scolopacidae (unidentified),Scolopacidae_(unidentified),Aves,Charadriiformes,Scolopacidae,
Secretary bird,Secretary_bird,Aves,Accipitriformes,Sagittariidae,
Semipalmated Sandpiper,Semipalmated_Sandpiper,Aves,Charadriiformes,Scolopacidae,
Short-eared Owl,Short-eared_Owl,Aves,Strigiformes,Strigidae,
Snow Goose,Snow_Goose,Aves,Anseriformes,Anatidae,
Snowy Owl,Snowy_Owl,Aves,Strigiformes,Strigidae,
Song Thrush,Song_Thrush,Aves,Passeriformes,Turdidae,
Southern Masked-Weaver,Southern_Masked-Weaver,Aves,Passeriformes,Ploceidae,
Spot-billed Duck,Spot-billed_Duck,Aves,Anseriformes,Anatidae,
Spot-billed pelican,Spot-billed_pelican,Aves,Pelecaniformes,Pelecanidae,
Spotted eagle-owl,Spotted_eagle-owl,Aves,Strigiformes,Strigidae,
Spotted Harrier,Spotted_Harrier,Aves,Accipitriformes,Accipitridae,
Spur-winged Goose,Spur-winged_Goose,Aves,Anseriformes,Anatidae,
Spur-winged Lapwing,Spur-winged_Lapwing,Aves,Charadriiformes,Charadriidae,
Steller's Sea Eagle,Steller's_Sea_Eagle,Aves,Accipitriformes,Accipitridae,
Steppe Eagle,Steppe_Eagle,Aves,Accipitriformes,Accipitridae,
Strigidae (unidentified),Strigidae_(unidentified),Aves,Strigiformes,Strigidae,
Striped Skunk,Striped_Skunk,Mammalia,Carnivora,Mephitidae,
Sulidae (unidentified),Sulidae_(unidentified),Aves,Suliformes,Sulidae,
Swift tern,Swift_tern,Aves,Charadriiformes,Laridae,
Tawny owl,Tawny_owl,Aves,Strigiformes,Strigidae,
Tufted Duck,Tufted_Duck,Aves,Anseriformes,Anatidae,
Tundra Swan,Tundra_Swan,Aves,Anseriformes,Anatidae,
Turkey Vulture,Turkey_Vulture,Aves,Accipitriformes,Cathartidae,
Ural Owl,Ural_Owl,Aves,Strigiformes,Strigidae,
Water Rail,Water_Rail,Aves,Gruiformes,Rallidae,
Wedge-tailed Eagle,Wedge-tailed_Eagle,Aves,Accipitriformes,Accipitridae,
Western Cattle Egret,Western_Cattle_Egret,Aves,Pelecaniformes,Ardeidae,
Western Grebe,Western_Grebe,Aves,Podicepiformes,Podicipedidae,
Western Marsh Harrier,Western_Marsh_Harrier,Aves,Accipitriformes,Accipitridae,
White Stork,White_Stork,Aves,Ciconiiformes,Ciconiidae,
White-breasted cormorant,White-breasted_cormorant,Aves,Suliformes,Phalacrocoracidae,
White-naped crane,White-naped_crane,Aves,Gruiformes,Gruidae,
White-rumped sandpiper,White-rumped_sandpiper,Aves,Charadriiformes,Scolopacidae,
White-tailed Eagle,White-tailed_Eagle,Aves,Accipitriformes,Accipitridae,
Whooper Swan,Whooper_Swan,Aves,Anseriformes,Anatidae,
Wild turkey,Wild_turkey,Aves,Galliformes,Phasianidae,
Wildlife (species unspecified),Wildlife_(species_unspecified),Undetermined,Undetermined,Undetermined,
Wood Duck,Wood_Duck,Aves,Anseriformes,Anatidae,
Yellow-billed Duck,Yellow-billed_Duck,Aves,Anseriformes,Anatidae,
Yellow-legged Gull,Yellow-legged_Gull,Aves,Charadriiformes,Laridae,
Accipiter gentilis,Northern_Goshawk,Aves,Accipitriformes,Accipitridae,Accipiter gentilis
Accipitridae,Accipitridae,Aves,Accipitriformes,Accipitridae,
